"ZCTA","B25024_1_total","B25024_2_1._detached","B25024_7_10_to_19","B25024_8_20_to_49","B25024_9_50_or_more","B25024_10_mobile_home","B25024_11_boat._rv._van._etc.","B11003_1_total","B11003_2_married.couple_family","B11003_3_with_own_children_of_the_householder_under_18_years","B11003_4_under_6_years_only","B11003_5_under_6_years_and_6_to_17_years","B11003_6_6_to_17_years_only","B11003_7_no_own_children_of_the_householder_under_18_years","B11003_8_other_family","B11003_9_male_householder._no_wife_present","B11003_10_with_own_children_of_the_householder_under_18_years","B11003_11_under_6_years_only","B11003_12_under_6_years_and_6_to_17_years","B11003_13_6_to_17_years_only","B11003_14_no_own_children_of_the_householder_under_18_years","B11003_15_female_householder._no_husband_present","B11003_16_with_own_children_of_the_householder_under_18_years","B11003_17_under_6_years_only","B11003_18_under_6_years_and_6_to_17_years","B11003_19_6_to_17_years_only","B11003_20_no_own_children_of_the_householder_under_18_years","B25075_1_total","B25075_2_less_than_.10.000","B25075_3_.10.000_to_.14.999","B25075_4_.15.000_to_.19.999","B25075_5_.20.000_to_.24.999","B25075_6_.25.000_to_.29.999","B25075_7_.30.000_to_.34.999","B25075_8_.35.000_to_.39.999","B25075_9_.40.000_to_.49.999","B25075_10_.50.000_to_.59.999","B25075_11_.60.000_to_.69.999","B25075_12_.70.000_to_.79.999","B25075_13_.80.000_to_.89.999","B25075_14_.90.000_to_.99.999","B25075_15_.100.000_to_.124.999","B25075_16_.125.000_to_.149.999","B25075_17_.150.000_to_.174.999","B25075_18_.175.000_to_.199.999","B25075_19_.200.000_to_.249.999","B25075_20_.250.000_to_.299.999","B25075_21_.300.000_to_.399.999","B25075_22_.400.000_to_.499.999","B25075_23_.500.000_to_.749.999","B25075_24_.750.000_to_.999.999","B25075_25_.1.000.000_to_.1.499.999","B25075_26_.1.500.000_to_.1.999.999","B25075_27_.2.000.000_or_more","B03002_1_total","B03002_2_not_hispanic_or_latino","B03002_3_white_alone","B03002_4_black_or_african_american_alone","B03002_5_american_indian_and_alaska_native_alone","B03002_6_asian_alone","B03002_7_native_hawaiian_and_other_pacific_islander_alone","B03002_8_some_other_race_alone","B03002_9_two_or_more_races","B03002_10_two_races_including_some_other_race","B03002_11_two_races_excluding_some_other_race._and_three_or_more_races","B03002_12_hispanic_or_latino","B03002_13_white_alone","B03002_14_black_or_african_american_alone","B03002_15_american_indian_and_alaska_native_alone","B03002_16_asian_alone","B03002_17_native_hawaiian_and_other_pacific_islander_alone","B03002_18_some_other_race_alone","B03002_19_two_or_more_races","B03002_20_two_races_including_some_other_race","B03002_21_two_races_excluding_some_other_race._and_three_or_more_races","B25056_1_total","B25056_2_with_cash_rent","B25056_3_less_than_.100","B25056_4_.100_to_.149","B25056_5_.150_to_.199","B25056_6_.200_to_.249","B25056_7_.250_to_.299","B25056_8_.300_to_.349","B25056_9_.350_to_.399","B25056_10_.400_to_.449","B25056_11_.450_to_.499","B25056_12_.500_to_.549","B25056_13_.550_to_.599","B25056_14_.600_to_.649","B25056_15_.650_to_.699","B25056_16_.700_to_.749","B25056_17_.750_to_.799","B25056_18_.800_to_.899","B25056_19_.900_to_.999","B25056_20_.1.000_to_.1.249","B25056_21_.1.250_to_.1.499","B25056_22_.1.500_to_.1.999","B25056_23_.2.000_to_.2.499","B25056_24_.2.500_to_.2.999","B25056_25_.3.000_to_.3.499","B25056_26_.3.500_or_more","B25056_27_no_cash_rent","STATE","COUNTY","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","B25024_3_1._attached","B25024_4_2","B25024_5_3_or_4","B25024_6_5_to_9","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20001",20330,734,1501,1248,7604,8,0,6101,3539,1188,623,142,423,2351,2562,571,238,68,18,152,333,1991,834,71,161,602,1157,6257,42,0,0,6,0,0,0,0,10,0,6,0,5,0,38,0,0,89,208,579,1294,2494,1075,318,32,61,44998,40786,15973,20612,14,3034,0,131,1022,97,925,4212,1634,379,0,65,0,1944,190,91,99,12009,11874,234,84,317,602,314,183,120,170,163,114,156,180,190,337,81,424,467,860,652,1561,2235,1321,628,481,135,11,"001",61.048,5795010.17681645,5795010.17681645,1,"District of Columbia",NA,5515,12743,30,5660,0.43,0.01,"Urban","0.46",5505,1578,1196,956,"8600000US20001","20001",5655793,159593
"20002",28609,878,2509,1212,3882,14,0,10334,5708,2369,1345,373,651,3339,4626,871,325,76,0,249,546,3755,1789,364,375,1050,1966,10355,113,17,0,9,43,15,14,20,26,17,38,0,26,77,22,104,95,542,460,1480,1502,3519,1301,671,169,75,59659,55958,23252,29213,139,1735,19,165,1435,76,1359,3701,2069,341,8,53,0,1037,193,102,91,15040,14653,422,158,26,458,233,252,97,134,99,94,87,389,332,377,403,798,1069,2085,1336,2477,1696,836,390,405,387,11,"001",61.048,14223802.9300222,14223802.9300222,1,"District of Columbia",NA,3411,21970,218,11982,0.16,0.06,"Urban","0.46",12474,1665,4449,1526,"8600000US20002","20002",13605793,596109
"20003",13361,535,850,655,2856,0,0,5136,3972,1432,834,163,435,2540,1164,254,101,21,0,80,153,910,322,27,15,280,588,5700,25,9,0,0,0,0,11,0,8,8,0,0,0,0,8,33,11,86,94,480,527,1984,1420,838,120,38,29071,27408,16599,9194,62,708,0,88,757,20,737,1663,1223,116,4,23,0,205,92,13,79,6464,6351,26,17,34,282,163,118,53,0,25,28,10,31,11,96,63,136,179,445,778,1587,1209,613,273,174,113,11,"001",61.048,6467487.2306837,6467487.2306837,1,"District of Columbia",NA,3042,9122,392,5734,0.33,0.13,"Urban","0.46",5530,1263,900,772,"8600000US20003","20003",5809903,709427
"20004",1615,0,17,181,1384,0,0,285,271,65,48,0,17,206,14,7,7,7,0,0,0,7,0,0,0,0,7,489,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15,71,117,175,73,12,0,9,1708,1562,1211,44,0,235,0,7,65,0,65,146,106,25,0,0,0,8,7,0,7,659,638,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,8,0,19,64,268,117,83,63,21,11,"001",61.048,894694.938347777,894694.938347777,1,"District of Columbia",NA,488,660,0,8,0.74,0,"Urban","0",8,0,19,6,"8600000US20004","20004",901029,0
"20005",8978,146,330,1535,5909,0,0,1549,1323,395,176,83,136,928,226,57,0,0,0,0,57,169,1,0,0,1,168,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,0,28,55,110,419,238,526,220,80,78,17,13063,10656,7348,1610,63,1007,27,83,518,78,440,2407,1095,0,0,0,0,1024,288,128,160,6362,6317,13,14,28,307,97,37,0,0,33,12,0,4,0,47,29,274,134,436,665,1816,1155,588,339,289,45,11,"001",61.048,1132684.48341241,1132684.48341241,1,"District of Columbia",NA,1845,6330,21,389,0.29,0.01,"Urban","0.46",243,85,407,323,"8600000US20005","20005",1103657,0
"20006",757,0,8,149,579,0,0,16,5,0,0,0,0,5,11,0,0,0,0,0,0,11,0,0,0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,0,0,0,0,0,2920,2660,1857,258,4,402,0,0,139,5,134,260,160,37,0,1,0,62,0,0,0,646,643,0,0,0,4,0,0,0,19,0,0,0,0,0,6,6,7,19,11,92,395,57,27,0,0,3,11,"001",61.048,918103.727879524,918103.727879524,1,"District of Columbia",NA,35,633,0,12,0.06,0,"Urban","0",12,0,5,4,"8600000US20006","20006",879526,0
"20007",13226,1630,855,1432,3468,0,0,4540,3911,1668,694,148,826,2243,629,167,64,39,0,25,103,462,314,95,8,211,148,6285,61,0,11,0,19,0,0,0,0,0,0,0,45,39,26,0,63,166,344,298,347,894,1284,1127,859,702,26415,24265,20355,1378,10,1690,0,73,759,161,598,2150,1701,38,38,33,0,178,162,17,145,5585,5354,0,0,0,0,0,0,0,0,0,0,0,0,20,11,40,70,90,455,1082,1732,774,198,157,725,231,11,"001",61.048,9147943.9090405,9147950.30093496,1.00000069872471,"District of Columbia",NA,300,11570,98,5402,0.03,0.33,"Urban","0.46",4140,255,658,788,"8600000US20007","20007",7775138,1302727
"20007",13226,1630,855,1432,3468,0,0,4540,3911,1668,694,148,826,2243,629,167,64,39,0,25,103,462,314,95,8,211,148,6285,61,0,11,0,19,0,0,0,0,0,0,0,45,39,26,0,63,166,344,298,347,894,1284,1127,859,702,26415,24265,20355,1378,10,1690,0,73,759,161,598,2150,1701,38,38,33,0,178,162,17,145,5585,5354,0,0,0,0,0,0,0,0,0,0,0,0,20,11,40,70,90,455,1082,1732,774,198,157,725,231,51,"013",25.974,9147943.9090405,2.21631234884262,2.42274370162277e-07,"Arlington","County",300,11570,98,5402,0.03,0.33,"Urban","0.46",4140,255,658,788,"8600000US20007","20007",7775138,1302727
"20008",16940,1899,592,1717,10555,0,0,5240,4454,1446,581,228,637,3008,786,328,300,17,0,283,28,458,240,77,29,134,218,5864,22,0,0,0,0,6,0,0,0,0,0,16,0,9,28,0,33,239,135,1111,498,861,678,1082,479,667,28261,24730,20175,2154,62,1680,0,46,613,19,594,3531,2334,158,16,8,0,829,186,134,52,9493,9362,0,0,0,34,0,0,13,0,0,0,20,10,33,10,41,111,106,480,1624,3675,1594,747,491,373,131,11,"001",61.048,7934014.35088521,7934014.35088521,1,"District of Columbia",NA,611,14746,114,3118,0.04,0.19,"Urban","0.46",1490,132,83,472,"8600000US20008","20008",7871408,33133
"20009",28886,526,3641,5883,10528,9,0,7348,5449,1440,902,226,312,4009,1899,300,125,23,0,102,175,1599,842,140,229,473,757,9432,75,0,0,0,0,0,12,0,13,0,21,0,0,31,54,92,80,229,298,1486,1183,2517,1773,914,431,223,51508,44598,30698,9367,52,2803,116,148,1414,78,1336,6910,3833,496,0,32,0,2252,297,194,103,17567,17383,105,89,146,546,74,160,248,119,110,126,112,212,136,230,152,516,529,1365,2014,4777,2912,1287,1036,382,184,11,"001",61.048,3440816.01026237,3440816.01026237,1,"District of Columbia",NA,3075,23915,132,3905,0.13,0.04,"Urban","0.46",3581,1190,1684,1844,"8600000US20009","20009",3404526,25629
